name	sample1	sample2	sample3	sample4	sample5	sample6	avgCONTROL	avgTRT
ACBD4	2.88708	3.22324	3.34078	1.97288	2.08983	2.67884	3.1503666666666668	2.2471833333333335
ACBD5	4.83555	4.63287	5.11061	3.66238	3.29826	3.85226	4.859676666666666	3.6043
ACBD6	69.9534	72.8569	68.4188	73.717	72.8605	72.1842	70.4097	72.92056666666666
ACCS	6.03431	6.22768	7.1651300000000004	4.45861	4.83089	5.2252	6.475706666666667	4.838233333333334
ACD	11.4081	12.0842	11.7405	13.9549	13.9224	13.8043	11.744266666666666	13.893866666666666
ACER2	1.45319	1.52408	1.32507	1.64229	1.62209	1.57554	1.4341133333333334	1.6133066666666667
ACER3	3.74859	3.66644	3.69832	4.31724	4.15338	4.35392	3.70445	4.274846666666666
ACHE	2.2775	2.42872	2.91073	3.86023	4.78713	4.44668	2.5389833333333334	4.36468
ACIN1	76.0303	76.1597	75.4382	86.2612	85.1125	86.9607	75.87606666666666	86.11146666666666
ACLY	85.3704	84.5663	76.314	94.4618	96.1315	92.9525	82.08356666666667	94.51526666666666
ACO1	12.2453	11.4703	11.6467	13.2813	14.6297	14.3071	11.787433333333334	14.0727
ACO2	60.427	60.7703	55.482	49.6872	49.9973	47.586	58.893100000000004	49.09016666666667
ACOT13	20.5722	21.6367	19.5248	14.6502	14.1115	14.936	20.5779	14.5659
ACOT7	58.31	58.9995	53.9279	64.8138	58.7683	59.7472	57.07913333333334	61.109766666666665
ACOT8	15.1022	15.5779	17.1296	12.7901	14.1713	14.553	15.936566666666666	13.838133333333333
ACOT9	32.9855	31.338	28.8619	34.1125	32.3808	28.7154	31.061799999999995	31.736233333333335
ACOX1	4.07351	3.81207	3.97332	3.98093	4.51894	3.95596	3.9529666666666663	4.151943333333333
ACOX3	3.28269	3.65419	3.95067	2.36931	2.4548	2.15161	3.6291833333333336	2.32524
ACP1	122.077	121.194	114.046	103.693	101.332	102.106	119.10566666666666	102.377
ACP2	12.0326	11.729	12.4153	9.38765	11.067	10.9437	12.058966666666668	10.466116666666666
ACRBP	3.23762	3.8083	3.89392	5.03973	5.54259	4.65848	3.6466133333333333	5.080266666666667
ACSF2	0.843735	1.27444	1.26018	1.54477	1.81872	1.69341	1.1261183333333333	1.6856333333333333
ACSF3	7.448	8.3228	8.21324	7.71502	8.15337	7.40653	7.99468	7.758306666666667
ACSL1	19.2769	19.558	19.0228	14.0535	15.0004	13.832	19.2859	14.2953
ACSL3	46.2576	42.7731	39.0044	35.2405	34.0883	33.4232	42.67836666666667	34.25066666666667
ACSL4	7.73191	6.85982	7.52453	10.9295	11.13	11.6432	7.372086666666667	11.234233333333334
ACSM1	1.21471	1.8356	2.19733	0.152195	0.310039	0.466018	1.7492133333333333	0.3094173333333334
ACSM3	79.4219	92.5791	93.7123	99.767	118.924	118.408	88.5711	112.36633333333333
