name	logFC	Pval	logPval	FDR
PPME1	0.359112335053026	5.42941405209661e-10	9.265247037385771	3.36096543652117e-9
CCNB1	0.359097782033637	1.89194386190322e-11	10.723091754206617	1.36049256355206e-10
THOC2	0.358936330912309	6.00339792154654e-11	10.221602869470306	4.11409164819697e-10
ZNF770	0.358791240857171	9.46655187720472e-10	9.023808180806302	5.66926124944183e-9
SOCS6	0.358674999772808	5.63535230373609e-4	3.2490789281030925	0.0014360913784421
GLRX5	0.358646346937871	2.17103359712812e-8	7.663333455709813	1.1217593367333e-7
SCML2	0.358272627099357	8.79986681130949e-8	7.055523900980635	4.17677053019176e-7
NCLN	0.35825996703004	5.5393481449032e-10	9.256541338832568	3.42679984850286e-9
AKR1C2	0.35759258460181	1.29854340831798e-5	4.8865435279924245	4.40504213154932e-5
OSBPL11	0.35746848449393	0.00207046805312592	2.6839314661797946	0.00470131919755373
PIMREG	0.357447385401042	0.00369154891701615	2.4327913723317427	0.00790550242775246
TMEM8A	0.357297071097595	1.39960109021256e-7	6.853995727897394	6.46656271825745e-7
NUP62	0.35697412428501	3.10421620026596e-12	11.508048038923944	2.40018389942309e-11
SMIM3	0.356716816981463	0.00201311150934961	2.6961321682042696	0.00457869167073001
PCED1A	0.356601983172706	0.00294161213593217	2.5314145914076525	0.00644231244974931
C5orf34	0.35653640719388	2.48816672300715e-4	3.6041205225117268	6.82052924586998e-4
CAVIN1	0.356357827000547	1.4936905785018e-9	8.825739358321732	8.74275195397259e-9
RIPOR3	0.355889794925584	3.38362754224118e-7	6.47061744860342	1.47699743559994e-6
LONRF2	0.355873097435003	2.40815694091402e-6	5.618315213281352	9.23110740797665e-6
HMOX2	0.355738270510686	1.58846346083e-5	4.799022770728188	5.29340227852896e-5
DHRS2	0.355670506563608	6.39417335798081e-7	6.1942155933702665	2.67631833679337e-6
IKZF1	0.355507036345406	4.89889741961045e-8	7.309901654351295	2.40889742525215e-7
NCOR2	0.354511434042856	1.22885430414831e-12	11.910499605034854	9.95153477127389e-12
ELOVL1	0.354371331688309	2.0539908751713e-7	6.687401490082244	9.24440881418274e-7
PARP1	0.354149757617195	5.51869996981185e-16	15.258163216189683	5.98422296046265e-15
TMEM131	0.354090196866231	1.43213478241839e-8	7.8440161073731245	7.51340485959927e-8
LYAR	0.353898473088705	1.00351104125316e-7	6.998477844771971	4.7255438692985e-7
PAFAH1B3	0.353473648379887	6.07841086065941e-7	6.216209947808794	2.55758563446312e-6
THAP11	0.353377690083607	5.31939851240008e-5	4.274137472500783	1.6274704853677e-4
PPP2R2A	0.353182927875361	7.78821321350113e-10	9.108562167555254	4.73230439478557e-9
SFXN1	0.352862604994547	2.42345858423914e-11	10.61556439776507	1.71943307861002e-10
GSK3B	0.352405584921856	4.9391891470055e-8	7.306344342146237	2.4249694559528e-7
DVL2	0.352266190534947	3.29286173989019e-7	6.482426503986948	1.44264451123728e-6
PRKD2	0.352099026471078	1.50692929732149e-5	4.821907123600069	5.04278229516539e-5
AGL	0.351689747734053	1.7524638719187e-7	6.7563509265071415	7.98502356885683e-7
BST2	0.351612202205521	6.31341755390611e-7	6.199735486554089	2.64935950121105e-6
NCDN	0.351609596365206	1.04848154653951e-6	5.979439208790996	4.23645015255763e-6
EIF5A2	0.351565627552216	6.16935748412926e-4	3.2097600637831674	0.00155970750669342
TBC1D23	0.351474848840008	6.57445379529491e-7	6.182140322464513	2.74337155751311e-6
NPLOC4	0.351095444287923	1.1317652910482e-14	13.9462436291296	1.09225057957467e-13
CDK10	0.350947651246582	7.21662197996414e-8	7.141666043256386	3.46137274906605e-7
NDEL1	0.350916385113595	1.59138019500719e-5	4.798226051108805	5.30127488159135e-5
IRF3	0.350898186124794	1.52560847961443e-8	7.816556906066193	7.97753936524461e-8
KLF9	0.350895827763271	0.003833371900789	2.416419044918507	0.00816897701852628
